,en,zh_TW
story.Prologue_Garden.event_bad_solution.text.a598d73ca3eb93a3390be110c96c1611c6c719a7,The flower sank into the water.,花朵沉進水中了。
story.Prologue_Garden.event_bad_solution.text.1fa7c4afef630a8a867031e6af55293aa9142750,Pity.,可惜。
story.Prologue_Garden.event_bad_solution.text.639caa765a4cb15ecb4d27e669c97ca1a81773a2,You thought that would work?,妳覺得那會有用嗎？
story.Prologue_Garden.event_bad_solution.text.52d9a56553314904be83193c25cdf76c1160bc88,You should be more careful about the decisions you make.,妳應該為妳的決定下更多心思。
story.Prologue_Garden.event_bad_solution.text.b236196df5bd53aa2f03170184b4734c0d0a7107,"The solution may seem obvious, but...",解答可能看起來很明顯，但是…
story.Prologue_Garden.event_bad_solution.text.e2613d8333cd43316df239498df6e5de6087c99c,THERE IS ALWAYS ANOTHER WAY,一定會有別的方法
story.Prologue_Garden.event_bad_solution.text.2e81eb0b7429096866b9537b5926eab9741392a3,"You may not notice it right away, but your actions will have an impact sooner or later.",妳可能不會馬上注意到，但是妳的行為遲早會造成影響。
story.Prologue_Garden.event_bad_solution.text.98f93521a96489eb5e6ef7322c03940ba5753d9e,You may not even remember what you did to cause it.,妳甚至會不記得是什麼行為造成的。
story.Prologue_Garden.event_bad_solution.text.45988cb16a64939bba66ac6d231558c00c954fbd,"Sadly, regret is always in the shadow of choice.",遺憾的是，悔恨總是隱藏在選擇之中。
story.Prologue_Garden.event_bad_solution.text.c27b971a448d670eff70abd319bbe67dcace005f,"Also, you know very well this isn't your home.",而且，妳很清楚這不是妳的家。
story.Prologue_Garden.event_bad_solution.text.5052aeaf4e35ec320c7239ce713e9ad8b67479c0,So why do you mess with things that don't belong to you?,那麼妳為什麼要碰不屬於妳的東西呢？
story.Prologue_Garden.event_bad_solution.text.bef736ee3072ed68815ed580732162970d471b32,YOU'RE NOT WELCOME HERE,這裡不歡迎妳
story.Prologue_Garden.event_bad_solution.text.cd5c9dd329cbd2782d8e00e2a803ff25b2b4e245,Look.,妳看。
story.Prologue_Garden.event_bad_solution.text.dc8f9fa1e5b7c5d9fef5c75d3e64b3e5a113d3e3,This is the result of your actions.,這是妳行為造成的結果。
story.Prologue_Garden.event_bad_solution.text.89fec136d1b4b408a0c2f771bdedd79a8c8608d8,The result of your expectations.,妳的期待所造成的結果。
story.Prologue_Garden.event_bad_solution.text.a9490e0258e10377768fe14e3dc37d01edffbc8a,Things are not always what they seem.,事物不是只有表象而已。
story.Prologue_Garden.event_bad_solution.text.cd736b5333fc128d68924f875f6840884b762349,What do you think?,妳怎麼想？
story.Prologue_Garden.event_bad_solution.text.9f59ea6972c737653f5e0c25d90b7ac1fb4369c1,Does this still look like a flower to you?,看起來還像是一朵花嗎？
story.Prologue_Garden.event_bad_solution.text.c65f311b5ad15bb32d0d5c42f62ca3ebe59bf758,You're not prepared to deal with the truth.,妳還沒準備好面對真相。
story.Prologue_Garden.event_bad_solution.text.b7b70cb3112f4642519025f225b7dd99acbfe933,Are you?,沒有錯吧？
story.Prologue_Garden.event_bad_solution.text.5e8b13dc0c50ea3e5c3f2efc55cc71584d3976f6,I can't stop you from coming here.,我無法阻止妳來到這裡。
story.Prologue_Garden.event_bad_solution.text.fa9d52baaa97c2745f8bb661ce7dca15377ba643,"But if you're foolish enough to cross my path,",但是如果妳愚蠢到再與我相遇，
story.Prologue_Garden.event_bad_solution.text.eae00ae6306f732b2502939de6bd80f258600b41,I'LL KILL YOU MYSELF,我會親手殺了妳
story.Prologue_Garden.event_bad_solution.text.bfc6aa79cea94e1c711ffd3288f1beebc7541fbd,...such is the way of our world.,…這就是我們世界的法則。
story.Prologue_Garden.event_good_solution.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Garden.event_good_solution.text.5cfe03df4e9d0223b2d7027339b6d34caafc9096,The door opened!,門開了！
story.Prologue_Garden.event_good_solution.text.0d6892d788c77911f0facc1697637dc14d9644ea,Fascinating.,太有趣了。
story.Prologue_Garden.event_good_solution.text.91d1af1808e53ac5ca18c42a546821991f5f51d2,You've done the opposite of what I expected.,妳做了與我期待完全相反的事。
story.Prologue_Garden.event_good_solution.text.89b2851268e4e2dadf678d45c25be389fa63bf65,A delightful surprise.,令人愉快的驚喜。
story.Prologue_Garden.event_good_solution.text.df7a71dc641dabf00efd212a612671e163ad16e1,"How did you know, I wonder?",妳是怎麼知道的，我想知道？
story.Prologue_Garden.event_good_solution.text.3976c32e05dc29ffa5f7a0b580a5a8d4de443135,Perhaps you're different.,也許妳與眾不同。
story.Prologue_Garden.event_good_solution.text.19fdf88d5ae5d59db9bfab79264df4322a0213d3,Or perhaps...,或是…
story.Prologue_Garden.event_good_solution.text.3ec6a35a15fe6acb1cff44149ff8895fb73ad523,...you cheated?,…妳作弊？
story.Prologue_Garden.event_good_solution.text.bb177203c476abd688024a04a3a5a1955e5927a0,How odd.,真奇怪。
story.Prologue_Garden.event_good_solution.text.165109613978587464e28f6f03c627cb033b7bb6,"Regardless, I advise you not to mess with things that don't belong to you.",無論如何，我建議妳不要碰不屬於妳的東西。
story.Prologue_Garden.event_good_solution.text.c3c6837cb2a0531897bdbfecb29d33a203fc3448,It's not safe for you.,對妳來說不安全。
story.Prologue_Garden.event_good_solution.text.a39d0978856f1ce2c0ac1d11038ab0f7bec752af,"As you already know, in this place...",就如妳所知，這個地方…
story.Prologue_Garden.event_good_solution.text.2a238afab266ca4c0d0c180aca8a35393d468e44,THINGS ARE NOT ALWAYS WHAT THEY SEEM,事物不是只有表象而已
story.Prologue_Garden.event_good_solution.text.2b7910c03535a0ac722b2e61f915c5af83c7458d,"The answers you're looking for are not yours to take,",妳所追尋的解答不屬於妳，
story.Prologue_Garden.event_good_solution.text.c37a9a334962b6fd5eeed1b4f9c3c24522960ec9,You're not ready to learn the truth...,妳還沒準備好面對真相…
story.Prologue_Garden.event_good_solution.text.9b7b3da98e5c4e6c9473cc4d915f7fa9df117f51,...and the truth is not willing to be learned by you.,…而真相不願被妳所知。
story.Prologue_Garden.event_good_solution.text.4b8dd121ad35511ae46dd75b53ce7c758fabd2af,I can't stop you from coming.,我無法阻止妳到來。
story.Prologue_Garden.event_good_solution.text.0cce36ae4abcfa59610894e3bec60998639db467,"Just know that if you do,",但是如果你這麼做，
story.Prologue_Garden.event_good_solution.text.b1cd359f15bcfa1ce2b75d70e5f8bf3143d9bf8c,YOU WILL BE KILLED,妳會被殺掉
story.Prologue_Garden.event_good_solution.text.bfc6aa79cea94e1c711ffd3288f1beebc7541fbd,...such is the way of our world.,…這就是我們世界的法則。
story.Prologue_Garden.event_tutorial_itemuse.text.5b15e664cfbdc9d6bec3cbb90ddb03e20ffd33c3,The building ahead seems locked somehow.,眼前的建築似乎被鎖住了。
story.Prologue_Garden.event_tutorial_pickup.text.4678acfef4d752ecb17059c444d3082850bafdce,There's a white flower on the ground.,地上有一朵白花。
story.Prologue_Garden.item_bad_flower_get.choice.text.58b8aa01d3fc4b103167fbf330e13e313ccbafab,Take Flower?,拿走花嗎？
story.Prologue_Garden.item_bad_flower_get.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Garden.item_bad_flower_get.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Garden.item_bad_flower_on_vase1.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,已經有花了。
story.Prologue_Garden.item_bad_flower_on_vase2.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,已經有花了。
story.Prologue_Garden.item_bad_flower_on_vase3.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,已經有花了。
story.Prologue_Garden.item_bad_flower_on_vase4.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,已經有花了。
story.Prologue_Garden.item_flower_on_vase1.text.67bdffd1d02b414ebb288c033ef22820a08f6a9f,The light turned green.,燈變綠了。
story.Prologue_Garden.item_flower_on_vase1.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,已經有花了。
story.Prologue_Garden.item_flower_on_vase2.text.67bdffd1d02b414ebb288c033ef22820a08f6a9f,The light turned green.,燈變綠了。
story.Prologue_Garden.item_flower_on_vase2.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,已經有花了。
story.Prologue_Garden.item_flower_on_vase3.text.67bdffd1d02b414ebb288c033ef22820a08f6a9f,The light turned green.,燈變綠了。
story.Prologue_Garden.item_flower_on_vase3.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,已經有花了。
story.Prologue_Garden.item_flower_on_vase4.text.67bdffd1d02b414ebb288c033ef22820a08f6a9f,The light turned green.,燈變綠了。
story.Prologue_Garden.item_flower_on_vase4.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,已經有花了。
story.Prologue_Garden.misc_door.text.1c6322edf605ee91f5480544e936495693e46535,A door with 4 colored lights.,有著 4 個色燈的門。
story.Prologue_Garden.misc_door.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
story.Prologue_Garden.misc_house.text.d5e6979f11fb628a43f7223c7bcc3d71266feef6,A small building adorned with flowers.,有著花朵裝飾的建築。
story.Prologue_Garden.misc_tree.text.73f8a16c8b0b804e134a1173dbe3226d0bf73c89,A tree with pink flowers.,有著粉紅花朵的樹。
story.Prologue_Garden.misc_vase1.text.921038637126ddcaaa7b70f23f9b2a46d246bdbd,A big flower vase with a white flower in it.,裡面有白色花朵的大花瓶。
story.Prologue_Garden.misc_vase1.choice.text.9108c46bbea36ae19d27633b7af9c239d95548f0,Take out the flower?,把花拿出來嗎？
story.Prologue_Garden.misc_vase1.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Garden.misc_vase1.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Garden.misc_vase1.text.bb97f52d9803f55b797891b5af16500f1704431d,The green light turned red.,綠燈變紅了。
story.Prologue_Garden.misc_vase1.choice.text.fc49316e86469404ad2c504f82428b4ba0e2a13b,Put the flower back in?,把花放回去嗎？
story.Prologue_Garden.misc_vase1.text.8f41660e5f565d99d3c715e8b01243485616596e,The light turned back green.,燈又變綠了。
story.Prologue_Garden.misc_vase1.text.a228d112739eaf48327709a5843717453560eff8,A big flower vase. The flower is missing.,大花瓶。裡面沒有花。
story.Prologue_Garden.misc_vase2.text.921038637126ddcaaa7b70f23f9b2a46d246bdbd,A big flower vase with a white flower in it.,裡面有白色花朵的大花瓶。
story.Prologue_Garden.misc_vase2.choice.text.9108c46bbea36ae19d27633b7af9c239d95548f0,Take out the flower?,把花拿出來嗎？
story.Prologue_Garden.misc_vase2.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Garden.misc_vase2.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Garden.misc_vase2.text.bb97f52d9803f55b797891b5af16500f1704431d,The green light turned red.,綠燈變紅了。
story.Prologue_Garden.misc_vase2.choice.text.fc49316e86469404ad2c504f82428b4ba0e2a13b,Put the flower back in?,把花放回去嗎？
story.Prologue_Garden.misc_vase2.text.8f41660e5f565d99d3c715e8b01243485616596e,The light turned back green.,燈又變綠了。
story.Prologue_Garden.misc_vase2.text.a228d112739eaf48327709a5843717453560eff8,A big flower vase. The flower is missing.,大花瓶。裡面沒有花。
story.Prologue_Garden.misc_vase3.text.921038637126ddcaaa7b70f23f9b2a46d246bdbd,A big flower vase with a white flower in it.,裡面有白色花朵的大花瓶。
story.Prologue_Garden.misc_vase3.choice.text.9108c46bbea36ae19d27633b7af9c239d95548f0,Take out the flower?,把花拿出來嗎？
story.Prologue_Garden.misc_vase3.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Garden.misc_vase3.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Garden.misc_vase3.text.bb97f52d9803f55b797891b5af16500f1704431d,The green light turned red.,綠燈變紅了。
story.Prologue_Garden.misc_vase3.choice.text.fc49316e86469404ad2c504f82428b4ba0e2a13b,Put the flower back in?,把花放回去嗎？
story.Prologue_Garden.misc_vase3.text.8f41660e5f565d99d3c715e8b01243485616596e,The light turned back green.,燈又變綠了。
story.Prologue_Garden.misc_vase3.text.a228d112739eaf48327709a5843717453560eff8,A big flower vase. The flower is missing.,大花瓶。裡面沒有花。
story.Prologue_Garden.misc_vase4.text.f94c8f3848ed1ff22bdfedab14a7d38192eb7228,"A big flower vase. Unlike the others, this one has no flower.",大花瓶。不像其他只，這只裡面沒有花。
story.Prologue_Garden.misc_vase4.text.9706bf3f2cedd50ec4914d2014cad5ed26f00278,A big flower vase. I placed a flower inside.,大花瓶。我把花放到裡面了。
story.Prologue_Garden.misc_vase4.choice.text.f339c1930f8e4d0e665445ac47e5ce88230617d4,Take it out?,把花拿出來嗎？
story.Prologue_Garden.misc_vase4.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Garden.misc_vase4.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Garden.misc_vase4.text.7f3a9cb2904012a6b65db6a05aeface9e5ec1504,The light turned back red.,燈又變紅了。
story.Prologue_Garden.misc_window.text.08d5c065ad044344e463b3aaf2d68037cdb2a316,Some large windows. You can't see what's inside.,很大的窗戶。妳看不到裡面。
