,en,zh_TW
story.Prologue_Nightmare_8.event_break.text.64149efb5df397160f49febd9f524b1f59b965ee,"In the meantime,",於此同時，
story.Prologue_Nightmare_8.event_break.text.59f1cca19fdfe100fee281df66df959c9706bca4,I'll just watch you rot away.,我會看著妳漸漸死去。
story.Prologue_Nightmare_8.event_break.text.cb9e0dff7f3217f36788ff1577e59af10b086f7b,SHUT UP! THAT'S ENOUGH!,閉嘴！夠了！
story.Prologue_Nightmare_8.event_break.text.eb1d2c49b4d5e104be11439e84cf7b1a3cf6ef78,"Whoever you are, GET OUT OF MY HEAD!",不管你是誰，滾出我的腦袋！
story.Prologue_Nightmare_8.event_break.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Nightmare_8.event_break.text.de50dbb453714436b1887212c27de26397f49791,"My life... is my business... my decisions, are mine alone.",我的生命…是我自己的事…我的選擇，我來決定。
story.Prologue_Nightmare_8.event_break.choice.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Nightmare_8.event_break.choice.e4ae3da3fceb15c7ec9515f785a0829799bd2380,"Please, let me out",拜託，讓我出去
story.Prologue_Nightmare_8.event_break.choice.c65cacb292be7a5b26907b7bed410adc47b8f314,Be strong,堅強下去
story.Prologue_Nightmare_8.event_break.text.94840be3f4872ae6c40dde120ebbb7e1d9e0d54a,"Let me out of this place. I know there's a way out, there has to be.",讓我出去。我知道有出去的路，一定會有。
story.Prologue_Nightmare_8.event_break.text.9ea78a3436d1d77388667c80c04affa0d4dd50e8,Please...,拜託…
story.Prologue_Nightmare_8.event_break.text.d40a130826b5ee24618ba34141b6897636b86425,...I want to go home...,…我想回家…
story.Prologue_Nightmare_8.event_break.text.6242cdb7914f2250fc600a7084c3d8acc14facf9,That's more like it.,這還差不多。
story.Prologue_Nightmare_8.event_break.text.5e59819500b18ed44d89ca223c48e9b9b58ca7cb,I... am not going to give you the reaction you want.,我…不會給你你想要的反應。
story.Prologue_Nightmare_8.event_break.text.79bdebe4f267da67bb4b31d83e45d4fb81736f59,...I'm better than that.,…我跟你想像的不一樣。
story.Prologue_Nightmare_8.event_break.text.bc936537036bd1b6c02b15e67c5074e81d129bac,You think you can come here and torture me?,你以為你可以折磨我嗎？
story.Prologue_Nightmare_8.event_break.text.4fe30016ed10d12ecf2dfd8580486982f0dfe344,"If entertainment is what you want, then I'll just bore you to death.",如果你想要的是娛樂，那我會讓你無聊到死。
story.Prologue_Nightmare_8.event_break.text.04e86213aff580f57900a9ff4e7f39463a0aa0fc,I hope you have a good book nearby.,希望你有一本好書在身邊。
story.Prologue_Nightmare_8.event_break.text.74b37ea91d86f98bdd31d4027df4b0529098b35f,Have it your way.,如你所願。
story.Prologue_Nightmare_8.event_voice_1.text.956faceef277de40146ed99f671c2799effb2dcb,Do you like it? I think it's just what you need.,喜歡嗎？我想這是你需要的。
story.Prologue_Nightmare_8.event_voice_2.text.01fd0a95066bda80ddf3210db7197504c9bb413c,Maybe now you will reflect on the stupidity of your actions.,或許妳現在會開始反思妳的行為有多愚蠢。
story.Prologue_Nightmare_8.misc_paper.text.24a67de14c730f1c33aebca05878e3ed8efdfc58,"""How would you like to stay trapped in here until you die?""","""妳想要如何直到死去都被困在這裡？"""
