,en,zh_TW
story.Prologue_HOD_Death.chr_girl1.text.7b12cd766e686d6204058b1e2556ab7f4cfda13c,A beheaded corpse.,斷頭的屍體。
story.Prologue_HOD_Death.chr_girl1.text.2b2005e1170ca7ee29a58b0f26190b6e80d213a2,Saki's beheaded corpse lies here.,沙紀斷頭的屍體躺在這裡。
story.Prologue_HOD_Death.chr_girl1.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_HOD_Death.chr_girl1.text.cf2538a972ec8cdd20feeb221b9faf06dbe897e8,That can't be...,這不是真的…
story.Prologue_HOD_Death.chr_girl1.text.2494e96cd66323400e7154384c7f185dc839ebd1,How is this possible?,這怎麼可能？
story.Prologue_HOD_Death.chr_girl1.text.51b443f9aa4b98a0a3cc13dd725654bb71b2bb68,I just saw her a while ago...,我剛剛才看到她…
story.Prologue_HOD_Death.chr_girl1.text.8543cde793292c8ef21bcf42445c1d969cc8b63f,I-I don't understand...,我-我不懂…
story.Prologue_HOD_Death.chr_girl2.text.ff43f8ad1f0b89ae57e7b9c65ee820fe70387890,A bloody corpse. The lower half is missing.,滿身是血的屍體。下半身不見了。
story.Prologue_HOD_Death.chr_girl2.text.c3dc8cde6875a5f1de674d11ebcf8d2ca55332da,Juli's bloody corpse. Her lower half is missing.,由里滿身是血的屍體。她的下半身不見了。
story.Prologue_HOD_Death.chr_girl2.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_HOD_Death.chr_girl2.text.d9b4acee22da38fa21bb21caecfbe7ad1b10256c,I...,我…
story.Prologue_HOD_Death.chr_girl2.text.e407a3553805eb7091ca8c0e22526b36c11935e5,This is my fault...,都是我的錯…
story.Prologue_HOD_Death.chr_girl3.text.78fe52d2f4822f0d7577d38ac8f92f897a8a7d54,A bloody corpse.,滿身是血的屍體。
story.Prologue_HOD_Death.chr_girl3.text.e305831456d0a96d7eef69c87b60444c00b5b08b,Kaya's bloody corpse.,香耶滿身是血的屍體。
story.Prologue_HOD_Death.chr_girl3.text.a92cb30a9d9abc19367a190caefb267e3aacb357,Oh no no no no no...,喔不不不不…
story.Prologue_HOD_Death.chr_girl3.text.fccdd8568432b8d4516abe8455f5587e3b66502b,Oh my god.,我的天哪。
story.Prologue_HOD_Death.chr_girl3.text.7d5016a83abb615f63ade02a3c1b7d1496adabe5,This can't be real... It's not real...,這不是真的…這不是真的…
story.Prologue_HOD_Death.chr_girl3.text.638e3ab555c59efb3517cd846a6fd6ab1b1af3fc,Right...?,對吧…？
story.Prologue_HOD_Death.event_ending.text.63da02f79c326f095db468f4483bf1f91c5bacb7,...The door...,…門…
story.Prologue_HOD_Death.event_ending.text.292df5c7fb20cbce8e367dcb434af59c7891e36b,I can... leave...?,我可以…離開…？
story.Prologue_HOD_Death.event_ending.text.2be0bbde30a97a3422fda9e8056e8142cc835147,I can... go home...?,我可以…回家…？
story.Prologue_HOD_Death.event_ending.text.329690f61f5870b314e322ba8d5d5ea81bbe0dfc,I don't want to die...,我不想死…
story.Prologue_HOD_Death.event_ending.text.2a130670091d09bfd06b560fb9d359a3a0080380,Why not? Everybody should try it at least once.,為什麼不？每個人都該試一次。
story.Prologue_HOD_Death.item_lighter.text.fbc63d4038f63fa3ebd90e2fc2d7e5553c80631f,Right.,對了。
story.Prologue_HOD_Death.item_lighter.text.b2ff11981d85412fb68836fcb65fa169c7153073,...It doesn't light up...,…點不起來…
story.Prologue_HOD_Death.item_lighter.text.995e5b8cdbdb5b387780f73113dd8348973a0dff,It's as if this place isn't dark... it's just black...,感覺就像是這個地方不暗…而是全黑的…
story.Prologue_HOD_Death.item_lighter.text.89d9d055ba487282ed7efebefae2f3dc6fda5673,That's not going to help.,這沒有用。
story.Prologue_HOD_Death.item_no_keyhole.text.ff97d40009634d766020f3d0c2a3df5ec4a5943c,"Unfortunately, the door has no keyhole.",不幸的是，這扇門沒有鑰匙孔。
story.Prologue_HOD_Death.misc_blood.text.e7a8acade2914201dc96902f0319fd379c405806,Blood.,血。
story.Prologue_HOD_Death.misc_blood_2.text.548190ac88e52e93e2e8bebbc430890b28626d39,Blood puddles.,血坑。
story.Prologue_HOD_Death.misc_blood_2.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_HOD_Death.misc_return.text.f306e8d8885993e357c509b51d671a24a1ca50de,There's no door here.,這裡沒有門。
story.Prologue_HOD_Death.misc_return.text.16760cacf133285c1a6c5532f08ebc7b671c268d,I cant... go back...,我不能…回去…
story.Prologue_HOD_Death.move_exit.text.1fca303c3a0350a814fa92a14aafbaa907b01569,A welcoming door.,讓人感到歡迎的門。
story.Prologue_HOD_Death.move_exit.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
story.Prologue_HOD_Death.move_exit.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_HOD_Death.move_exit.text.c93e2c3b8f7f2fe700bc45e5804d37e4b65a6ef2,I... have to...,我…必須…
story.Prologue_HOD_Death.move_exit.text.5365078865ebc656316464f1c545e1a59b2b8268,...get out...,…出去…
