,en,zh_TW
items.prologue.bad_flower.name,White Flower,白花
items.prologue.bad_flower.description,A white flower I found on the grass. It appears to be a lily... I think.,我在草地上發現的白花。看起來是百合…吧。
items.prologue.white_flower.name,Wet White Flower,濕掉的白花
items.prologue.white_flower.description,A white flower I took from a vase. It's probably a Lily.,我從花瓶中拿出的白花。大概是百合。
items.prologue.ritual_notes.name,Ritual Notes,儀式筆記
items.prologue.ritual_notes.description,I put everything I need to remember here.,我把需要記住的東西都記在這裡。
items.prologue.ritual_notes2.name,Ritual Notes (Drawing),儀式筆記(圖畫)
items.prologue.ritual_notes2.description,This is how it looks in my head.,在我腦中看來是這樣子。
items.prologue.candles.name,Candles,蠟燭
items.prologue.candles.description,A bunch of candles. I need these for the ritual.,一綑蠟燭。儀式要用到這些。
items.prologue.chalk.name,Chalk,粉筆
items.prologue.chalk.description,A piece of chalk. I can draw various things with it.,一截粉筆。我可以用它在各種東西上畫畫。
items.prologue.curtains.name,Curtains,窗簾
items.prologue.curtains.description,Red blackout curtains used to block as much light as possible.,用來儘量遮擋光線的紅黑色窗簾
items.prologue.lighter.name,Lighter,打火機
items.prologue.lighter.description,"My personal lighter. I don't smoke, but I enjoy watching things burn.",我自己的打火機。我不抽菸，可是我喜歡看東西燃燒。
items.prologue.lighter2.name,Old Lighter,舊打火機
items.prologue.lighter2.description,An old lighter I had lost a long time ago. It doesn't seem to work anymore.,我遺失已久的舊打火機。看起來已經沒用了。
items.prologue.scissors.name,Scissors,剪刀
items.prologue.scissors.description,A regular pair of scissors. Not pointy enough to stab people with.,普通的剪刀。沒有尖到可以用來刺人。
items.prologue.tuft01.name,Girl's Hair,女孩的頭髮
items.prologue.tuft01.description,A tuft of hair I cut from the girl with brown hair.,一束我從有著棕髮的女孩剪下的頭髮
items.prologue.tuft02.name,Girl's Hair,女孩的頭髮
items.prologue.tuft02.description,A tuft of hair I cut from the girl with black hair.,一束我從有著黑髮的女孩剪下的頭髮
items.prologue.tuft03.name,Girl's Hair,女孩的頭髮
items.prologue.tuft03.description,A tuft of hair I cut from the girl with dark brown hair.,一束我從有著暗棕髮的女孩剪下的頭髮
items.prologue.tuft00.name,My Hair,我的頭髮
items.prologue.tuft00.description,A bit of hair I cut from myself. Looking at it makes me sad.,一些我自己剪下的頭髮。看著它讓我難過。
items.prologue.rune_berkana.name,Protective Rune,守護符石
items.prologue.rune_berkana.description,A rune with some ancient symbol engraved.,刻著古代符號的符石。
items.prologue.rune_inguz.name,Protective Rune,守護符石
items.prologue.rune_inguz.description,A rune with some ancient symbol engraved.,刻著古代符號的符石。
items.prologue.rune_kaunaz.name,Protective Rune,守護符石
items.prologue.rune_kaunaz.description,A rune with some ancient symbol engraved.,刻著古代符號的符石。
items.prologue.girl1_notebook.name,Student's Notebook,學生的筆記本
items.prologue.girl1_notebook.description,"A red notebook, probably forgotten by a student. The color and design are not my style.",一本紅色筆記本，大概是學生忘記的。顏色和設計不是我的風格。
items.prologue.key_theater_club.name,Theater Club Key,話劇社鑰匙
items.prologue.key_theater_club.description,The key to open the theater club room.,用來打開話劇社辦的鑰匙
items.prologue.hairpin.name,Dusty Hairpin,髒兮兮的髮夾
items.prologue.hairpin.description,My trusty hairpin! I have a feeling this could come in handy.,我可靠的髮夾！感覺會用到它。
items.prologue.key_hod.name,Fairly Normal-Looking Key,看起來很正常的鑰匙
items.prologue.key_hod.description,A key I found on a long hallway.,我在長廊上發現的鑰匙
items.prologue.lettuce.name,Lettuce,萵苣
items.prologue.lettuce.description,You're not supposed to have this in your inventory.,妳的物品庫不應該有這個。
items.prologue.locker_key.name,Small Key,小鑰匙
items.prologue.locker_key.description,"A small key, probably for a locker.",小鑰匙，大概是儲物櫃的。
items.prologue.blueprints.name,Strange Blueprints,奇怪的藍圖
items.prologue.blueprints.description,Blueprints for an unknown device. You can't make heads or tails out of it.,未知裝置的藍圖。妳看不出這到底是什麼。
