,en,zh_TW
story.Prologue_Ending_K5.chr_juli.text.6cecebf78bd325c2289b252f10618f8b7ecc5b57,Juli's dismembered body.,由里斷肢的身體
story.Prologue_Ending_K5.chr_juli.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Ending_K5.chr_juli.text.52f3d06bbcdeb77f63ed114b03982ac83b3c779b,What...?,什麼…？
story.Prologue_Ending_K5.chr_juli.text.2cd281928de4b6b834a7b8190a9aefe3a76cc6ca,This can't be...,這怎麼可能…
story.Prologue_Ending_K5.chr_kaya.text.552823b4c921b33ecec2c45374bcee34373d65c5,Kaya's lifeless body.,香耶毫無生氣的身體
story.Prologue_Ending_K5.chr_kaya.text.fccdd8568432b8d4516abe8455f5587e3b66502b,Oh my god.,我的天哪…
story.Prologue_Ending_K5.chr_kaya.text.1c6ae34ecc088ec84a6d2f0a26ca555401435bd8,She didn't deserve this...,她不應該受這種對待…
story.Prologue_Ending_K5.chr_saki.text.f5b616667162fa21d01eb20f0f329e4059090fe4,Saki's headless body.,沙紀身首異處的身體
story.Prologue_Ending_K5.chr_saki.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Ending_K5.chr_saki.text.c22e027a7e933fa1c116c83000f33cb046a05c02,No way... this can't be real...,不可能…不是真的…
story.Prologue_Ending_K5.misc_desk.text.5301e1431143f0a98e607045b5d7982504d4cd98,A school desk.,學校的課桌
story.Prologue_Ending_K5.misc_desk.text.759920865ae53a6741c274172eab762e792ef902,"It feels unnatural to the touch, like it's made of stone.",摸起來好不真實，像是用石頭做的一樣。
story.Prologue_Ending_K5.move_exit.text.23652b2e808c38a7075c3d2fdec9b0d11daa63fb,Wait...!,等等…！
